ID,Country
1,Afghanistan
2,Albania
3,Algeria
4,Angola
5,Argentina
6,Armenia
7,Australia
8,Austria
9,Azerbaijan
10,Bahrain
11,Bangladesh
12,Barbados
13,Belarus
14,Belgium
15,Belize
16,Benin
17,Bhutan
18,Bolivia
19,Bosnia and Herzegovina
20,Botswana
21,Brazil
22,Bulgaria
23,Burkina Faso
24,Burundi
25,Cambodia
26,Cameroon
27,Canada
28,Central African Republic
29,Chad
30,Chile
31,China
32,Colombia
33,Costa Rica
34,C̫te-d'Ivoire
35,Croatia
36,Cuba
37,Cyprus
38,Czech Republic
39,Democratic Republic of the Con
40,Denmark
41,Djibouti
42,Dominican Republic
43,Ecuador
44,Egypt
45,El Salvador
46,Equatorial Guinea
47,Eritrea
48,Estonia
49,Ethiopia
50,Finland
51,France
52,French Guiana
53,Gabon
54,Georgia
55,Germany
56,Ghana
57,Greece
58,Guadeloupe
59,Guatemala
60,Guinea
61,Guinea-Bissau
62,Guyana
63,Haiti
64,Honduras
65,Hong Kong
66,Hungary
67,India
68,Indonesia
69,Iran
70,Iraq
71,Ireland
72,Israel
73,Italy
74,Jamaica
75,Japan
76,Jordan
77,Kazakhstan
78,Kenya
79,Kuwait
80,Kyrgyzstan
81,Laos
82,Lebanon
83,Lesotho
84,Liberia
85,Libya
86,Lithuania
87,Luxembourg
88,Macedonia
89,Madagascar
90,Malawi
91,Malaysia
92,Mali
93,Martinique
94,Mauritania
95,Mexico
96,Moldova
97,Mongolia
98,Montenegro
99,Morocco
100,Mozambique
101,Myanmar (Burma)
102,Namibia
103,Nepal
104,Netherlands
105,New Zealand
106,Nicaragua
107,Niger
108,Nigeria
109,Norway
110,Oman
111,Pakistan
112,Panama
113,Papua New Guinea
114,Paraguay
115,Peru
116,Philippines
117,Poland
118,Portugal
119,Qatar
120,Republic of the Congo
121,Romania
122,Russia
123,Rwanda
124,Saudi Arabia
125,Senegal
126,Serbia
127,Sierra Leone
128,Singapore
129,Slovakia
130,Slovenia
131,Somalia
132,South Africa
133,South Korea
134,South Sudan
135,Spain
136,Sri Lanka
137,Sudan
138,Suriname
139,Swaziland
140,Sweden
141,Switzerland
142,Syria
143,Taiwan
144,Tajikistan
145,Tanzania
146,Thailand
147,The Gambia
148,Togo
149,Trinidad and Tobago
150,Tunisia
151,Turkey
152,Turkmenistan
153,Uganda
154,Ukraine
155,United Arab Emirates
156,United Kingdom
157,United States
158,Uruguay
159,Uzbekistan
160,Venezuela
161,Vietnam
162,Western Sahara
163,Yemen
164,Zambia
165,Zimbabwe
